profileID,respID,qID,altID,obsID,blockID,tired,walking,sports,concentration,embarrassed,unhappiness,treated
13915,5,2,1,42,1,always,sometimes,almost never,almost never,sometimes,always,never
4704,5,3,1,43,1,often,never,often,sometimes,sometimes,almost never,never
58594,5,4,1,44,1,often,often,often,often,often,often,often
72509,5,5,1,45,1,often,almost never,never,never,almost never,often,always
15431,5,6,1,46,1,never,almost never,sometimes,often,always,always,never
40820,5,7,1,47,1,always,often,sometimes,almost never,never,often,sometimes
10362,5,8,1,48,1,almost never,sometimes,always,sometimes,almost never,often,never
49658,5,9,1,49,1,sometimes,almost never,almost never,sometimes,always,never,often
63323,5,10,1,50,1,sometimes,always,sometimes,almost never,almost never,never,always
74030,6,1,1,51,1,always,never,almost never,sometimes,often,often,always
13915,6,2,1,52,1,always,sometimes,almost never,almost never,sometimes,always,never
4704,6,3,1,53,1,often,never,often,sometimes,sometimes,almost never,never
58594,6,4,1,54,1,often,often,often,often,often,often,often
72509,6,5,1,55,1,often,almost never,never,never,almost never,often,always
15431,6,6,1,56,1,never,almost never,sometimes,often,always,always,never
40820,6,7,1,57,1,always,often,sometimes,almost never,never,often,sometimes
10362,6,8,1,58,1,almost never,sometimes,always,sometimes,almost never,often,never
49658,6,9,1,59,1,sometimes,almost never,almost never,sometimes,always,never,often
63323,6,10,1,60,1,sometimes,always,sometimes,almost never,almost never,never,always
74030,7,1,1,61,1,always,never,almost never,sometimes,often,often,always
13915,7,2,1,62,1,always,sometimes,almost never,almost never,sometimes,always,never
4704,7,3,1,63,1,often,never,often,sometimes,sometimes,almost never,never
58594,7,4,1,64,1,often,often,often,often,often,often,often
72509,7,5,1,65,1,often,almost never,never,never,almost never,often,always
15431,7,6,1,66,1,never,almost never,sometimes,often,always,always,never
40820,7,7,1,67,1,always,often,sometimes,almost never,never,often,sometimes
10362,7,8,1,68,1,almost never,sometimes,always,sometimes,almost never,often,never
49658,7,9,1,69,1,sometimes,almost never,almost never,sometimes,always,never,often
63323,7,10,1,70,1,sometimes,always,sometimes,almost never,almost never,never,always
74030,8,1,1,71,1,always,never,almost never,sometimes,often,often,always
13915,8,2,1,72,1,always,sometimes,almost never,almost never,sometimes,always,never
4704,8,3,1,73,1,often,never,often,sometimes,sometimes,almost never,never
58594,8,4,1,74,1,often,often,often,often,often,often,often
72509,8,5,1,75,1,often,almost never,never,never,almost never,often,always
15431,8,6,1,76,1,never,almost never,sometimes,often,always,always,never
40820,8,7,1,77,1,always,often,sometimes,almost never,never,often,sometimes
10362,8,8,1,78,1,almost never,sometimes,always,sometimes,almost never,often,never
49658,8,9,1,79,1,sometimes,almost never,almost never,sometimes,always,never,often
63323,8,10,1,80,1,sometimes,always,sometimes,almost never,almost never,never,always
74030,9,1,1,81,1,always,never,almost never,sometimes,often,often,always
13915,9,2,1,82,1,always,sometimes,almost never,almost never,sometimes,always,never
4704,9,3,1,83,1,often,never,often,sometimes,sometimes,almost never,never
58594,9,4,1,84,1,often,often,often,often,often,often,often
72509,9,5,1,85,1,often,almost never,never,never,almost never,often,always
15431,9,6,1,86,1,never,almost never,sometimes,often,always,always,never
40820,9,7,1,87,1,always,often,sometimes,almost never,never,often,sometimes
10362,9,8,1,88,1,almost never,sometimes,always,sometimes,almost never,often,never
49658,9,9,1,89,1,sometimes,almost never,almost never,sometimes,always,never,often
63323,9,10,1,90,1,sometimes,always,sometimes,almost never,almost never,never,always
74030,10,1,1,91,1,always,never,almost never,sometimes,often,often,always
13915,10,2,1,92,1,always,sometimes,almost never,almost never,sometimes,always,never
4704,10,3,1,93,1,often,never,often,sometimes,sometimes,almost never,never
58594,10,4,1,94,1,often,often,often,often,often,often,often
72509,10,5,1,95,1,often,almost never,never,never,almost never,often,always
15431,10,6,1,96,1,never,almost never,sometimes,often,always,always,never
40820,10,7,1,97,1,always,often,sometimes,almost never,never,often,sometimes
10362,10,8,1,98,1,almost never,sometimes,always,sometimes,almost never,often,never
49658,10,9,1,99,1,sometimes,almost never,almost never,sometimes,always,never,often
63323,10,10,1,100,1,sometimes,always,sometimes,almost never,almost never,never,always
74030,11,1,1,101,1,always,never,almost never,sometimes,often,often,always
13915,11,2,1,102,1,always,sometimes,almost never,almost never,sometimes,always,never
4704,11,3,1,103,1,often,never,often,sometimes,sometimes,almost never,never
58594,11,4,1,104,1,often,often,often,often,often,often,often
72509,11,5,1,105,1,often,almost never,never,never,almost never,often,always
15431,11,6,1,106,1,never,almost never,sometimes,often,always,always,never
40820,11,7,1,107,1,always,often,sometimes,almost never,never,often,sometimes
10362,11,8,1,108,1,almost never,sometimes,always,sometimes,almost never,often,never
49658,11,9,1,109,1,sometimes,almost never,almost never,sometimes,always,never,often
63323,11,10,1,110,1,sometimes,always,sometimes,almost never,almost never,never,always
74030,12,1,1,111,1,always,never,almost never,sometimes,often,often,always
13915,12,2,1,112,1,always,sometimes,almost never,almost never,sometimes,always,never
4704,12,3,1,113,1,often,never,often,sometimes,sometimes,almost never,never
58594,12,4,1,114,1,often,often,often,often,often,often,often
72509,12,5,1,115,1,often,almost never,never,never,almost never,often,always
15431,12,6,1,116,1,never,almost never,sometimes,often,always,always,never
40820,12,7,1,117,1,always,often,sometimes,almost never,never,often,sometimes
10362,12,8,1,118,1,almost never,sometimes,always,sometimes,almost never,often,never
49658,12,9,1,119,1,sometimes,almost never,almost never,sometimes,always,never,often
63323,12,10,1,120,1,sometimes,always,sometimes,almost never,almost never,never,always
74030,13,1,1,121,1,always,never,almost never,sometimes,often,often,always
13915,13,2,1,122,1,always,sometimes,almost never,almost never,sometimes,always,never
4704,13,3,1,123,1,often,never,often,sometimes,sometimes,almost never,never
58594,13,4,1,124,1,often,often,often,often,often,often,often
72509,13,5,1,125,1,often,almost never,never,never,almost never,often,always
15431,13,6,1,126,1,never,almost never,sometimes,often,always,always,never
40820,13,7,1,127,1,always,often,sometimes,almost never,never,often,sometimes
10362,13,8,1,128,1,almost never,sometimes,always,sometimes,almost never,often,never
49658,13,9,1,129,1,sometimes,almost never,almost never,sometimes,always,never,often
63323,13,10,1,130,1,sometimes,always,sometimes,almost never,almost never,never,always
74030,14,1,1,131,1,always,never,almost never,sometimes,often,often,always
13915,14,2,1,132,1,always,sometimes,almost never,almost never,sometimes,always,never
4704,14,3,1,133,1,often,never,often,sometimes,sometimes,almost never,never
58594,14,4,1,134,1,often,often,often,often,often,often,often
72509,14,5,1,135,1,often,almost never,never,never,almost never,often,always
15431,14,6,1,136,1,never,almost never,sometimes,often,always,always,never
40820,14,7,1,137,1,always,often,sometimes,almost never,never,often,sometimes
10362,14,8,1,138,1,almost never,sometimes,always,sometimes,almost never,often,never
49658,14,9,1,139,1,sometimes,almost never,almost never,sometimes,always,never,often
63323,14,10,1,140,1,sometimes,always,sometimes,almost never,almost never,never,always
74030,15,1,1,141,1,always,never,almost never,sometimes,often,often,always
13915,15,2,1,142,1,always,sometimes,almost never,almost never,sometimes,always,never
4704,15,3,1,143,1,often,never,often,sometimes,sometimes,almost never,never
58594,15,4,1,144,1,often,often,often,often,often,often,often
72509,15,5,1,145,1,often,almost never,never,never,almost never,often,always
15431,15,6,1,146,1,never,almost never,sometimes,often,always,always,never
40820,15,7,1,147,1,always,often,sometimes,almost never,never,often,sometimes
10362,15,8,1,148,1,almost never,sometimes,always,sometimes,almost never,often,never
49658,15,9,1,149,1,sometimes,almost never,almost never,sometimes,always,never,often
63323,15,10,1,150,1,sometimes,always,sometimes,almost never,almost never,never,always
74030,16,1,1,151,1,always,never,almost never,sometimes,often,often,always
13915,16,2,1,152,1,always,sometimes,almost never,almost never,sometimes,always,never
4704,16,3,1,153,1,often,never,often,sometimes,sometimes,almost never,never
58594,16,4,1,154,1,often,often,often,often,often,often,often
72509,16,5,1,155,1,often,almost never,never,never,almost never,often,always
15431,16,6,1,156,1,never,almost never,sometimes,often,always,always,never
40820,16,7,1,157,1,always,often,sometimes,almost never,never,often,sometimes
10362,16,8,1,158,1,almost never,sometimes,always,sometimes,almost never,often,never
49658,16,9,1,159,1,sometimes,almost never,almost never,sometimes,always,never,often
63323,16,10,1,160,1,sometimes,always,sometimes,almost never,almost never,never,always
74030,17,1,1,161,1,always,never,almost never,sometimes,often,often,always
13915,17,2,1,162,1,always,sometimes,almost never,almost never,sometimes,always,never
4704,17,3,1,163,1,often,never,often,sometimes,sometimes,almost never,never
58594,17,4,1,164,1,often,often,often,often,often,often,often
72509,17,5,1,165,1,often,almost never,never,never,almost never,often,always
15431,17,6,1,166,1,never,almost never,sometimes,often,always,always,never
40820,17,7,1,167,1,always,often,sometimes,almost never,never,often,sometimes
10362,17,8,1,168,1,almost never,sometimes,always,sometimes,almost never,often,never
49658,17,9,1,169,1,sometimes,almost never,almost never,sometimes,always,never,often
63323,17,10,1,170,1,sometimes,always,sometimes,almost never,almost never,never,always
74030,18,1,1,171,1,always,never,almost never,sometimes,often,often,always
13915,18,2,1,172,1,always,sometimes,almost never,almost never,sometimes,always,never
4704,18,3,1,173,1,often,never,often,sometimes,sometimes,almost never,never
58594,18,4,1,174,1,often,often,often,often,often,often,often
72509,18,5,1,175,1,often,almost never,never,never,almost never,often,always
15431,18,6,1,176,1,never,almost never,sometimes,often,always,always,never
40820,18,7,1,177,1,always,often,sometimes,almost never,never,often,sometimes
10362,18,8,1,178,1,almost never,sometimes,always,sometimes,almost never,often,never
49658,18,9,1,179,1,sometimes,almost never,almost never,sometimes,always,never,often
63323,18,10,1,180,1,sometimes,always,sometimes,almost never,almost never,never,always
74030,19,1,1,181,1,always,never,almost never,sometimes,often,often,always
13915,19,2,1,182,1,always,sometimes,almost never,almost never,sometimes,always,never
4704,19,3,1,183,1,often,never,often,sometimes,sometimes,almost never,never
58594,19,4,1,184,1,often,often,often,often,often,often,often
72509,19,5,1,185,1,often,almost never,never,never,almost never,often,always
15431,19,6,1,186,1,never,almost never,sometimes,often,always,always,never
40820,19,7,1,187,1,always,often,sometimes,almost never,never,often,sometimes
10362,19,8,1,188,1,almost never,sometimes,always,sometimes,almost never,often,never
49658,19,9,1,189,1,sometimes,almost never,almost never,sometimes,always,never,often
63323,19,10,1,190,1,sometimes,always,sometimes,almost never,almost never,never,always
74030,20,1,1,191,1,always,never,almost never,sometimes,often,often,always
13915,20,2,1,192,1,always,sometimes,almost never,almost never,sometimes,always,never
4704,20,3,1,193,1,often,never,often,sometimes,sometimes,almost never,never
58594,20,4,1,194,1,often,often,often,often,often,often,often
72509,20,5,1,195,1,often,almost never,never,never,almost never,often,always
15431,20,6,1,196,1,never,almost never,sometimes,often,always,always,never
40820,20,7,1,197,1,always,often,sometimes,almost never,never,often,sometimes
10362,20,8,1,198,1,almost never,sometimes,always,sometimes,almost never,often,never
49658,20,9,1,199,1,sometimes,almost never,almost never,sometimes,always,never,often
63323,20,10,1,200,1,sometimes,always,sometimes,almost never,almost never,never,always
74030,21,1,1,201,1,always,never,almost never,sometimes,often,often,always
13915,21,2,1,202,1,always,sometimes,almost never,almost never,sometimes,always,never
4704,21,3,1,203,1,often,never,often,sometimes,sometimes,almost never,never
58594,21,4,1,204,1,often,often,often,often,often,often,often
72509,21,5,1,205,1,often,almost never,never,never,almost never,often,always
15431,21,6,1,206,1,never,almost never,sometimes,often,always,always,never
40820,21,7,1,207,1,always,often,sometimes,almost never,never,often,sometimes
10362,21,8,1,208,1,almost never,sometimes,always,sometimes,almost never,often,never
49658,21,9,1,209,1,sometimes,almost never,almost never,sometimes,always,never,often
63323,21,10,1,210,1,sometimes,always,sometimes,almost never,almost never,never,always
74030,22,1,1,211,1,always,never,almost never,sometimes,often,often,always
13915,22,2,1,212,1,always,sometimes,almost never,almost never,sometimes,always,never
4704,22,3,1,213,1,often,never,often,sometimes,sometimes,almost never,never
58594,22,4,1,214,1,often,often,often,often,often,often,often
72509,22,5,1,215,1,often,almost never,never,never,almost never,often,always
15431,22,6,1,216,1,never,almost never,sometimes,often,always,always,never
40820,22,7,1,217,1,always,often,sometimes,almost never,never,often,sometimes
10362,22,8,1,218,1,almost never,sometimes,always,sometimes,almost never,often,never
49658,22,9,1,219,1,sometimes,almost never,almost never,sometimes,always,never,often
63323,22,10,1,220,1,sometimes,always,sometimes,almost never,almost never,never,always
74030,23,1,1,221,1,always,never,almost never,sometimes,often,often,always
13915,23,2,1,222,1,always,sometimes,almost never,almost never,sometimes,always,never
4704,23,3,1,223,1,often,never,often,sometimes,sometimes,almost never,never
58594,23,4,1,224,1,often,often,often,often,often,often,often
72509,23,5,1,225,1,often,almost never,never,never,almost never,often,always
15431,23,6,1,226,1,never,almost never,sometimes,often,always,always,never
40820,23,7,1,227,1,always,often,sometimes,almost never,never,often,sometimes
10362,23,8,1,228,1,almost never,sometimes,always,sometimes,almost never,often,never
49658,23,9,1,229,1,sometimes,almost never,almost never,sometimes,always,never,often
63323,23,10,1,230,1,sometimes,always,sometimes,almost never,almost never,never,always
74030,24,1,1,231,1,always,never,almost never,sometimes,often,often,always
13915,24,2,1,232,1,always,sometimes,almost never,almost never,sometimes,always,never
4704,24,3,1,233,1,often,never,often,sometimes,sometimes,almost never,never
58594,24,4,1,234,1,often,often,often,often,often,often,often
72509,24,5,1,235,1,often,almost never,never,never,almost never,often,always
15431,24,6,1,236,1,never,almost never,sometimes,often,always,always,never
40820,24,7,1,237,1,always,often,sometimes,almost never,never,often,sometimes
10362,24,8,1,238,1,almost never,sometimes,always,sometimes,almost never,often,never
49658,24,9,1,239,1,sometimes,almost never,almost never,sometimes,always,never,often
63323,24,10,1,240,1,sometimes,always,sometimes,almost never,almost never,never,always
74030,25,1,1,241,1,always,never,almost never,sometimes,often,often,always
13915,25,2,1,242,1,always,sometimes,almost never,almost never,sometimes,always,never
4704,25,3,1,243,1,often,never,often,sometimes,sometimes,almost never,never
58594,25,4,1,244,1,often,often,often,often,often,often,often
72509,25,5,1,245,1,often,almost never,never,never,almost never,often,always
15431,25,6,1,246,1,never,almost never,sometimes,often,always,always,never
40820,25,7,1,247,1,always,often,sometimes,almost never,never,often,sometimes
10362,25,8,1,248,1,almost never,sometimes,always,sometimes,almost never,often,never
49658,25,9,1,249,1,sometimes,almost never,almost never,sometimes,always,never,often
63323,25,10,1,250,1,sometimes,always,sometimes,almost never,almost never,never,always
74030,26,1,1,251,1,always,never,almost never,sometimes,often,often,always
13915,26,2,1,252,1,always,sometimes,almost never,almost never,sometimes,always,never
4704,26,3,1,253,1,often,never,often,sometimes,sometimes,almost never,never
58594,26,4,1,254,1,often,often,often,often,often,often,often
72509,26,5,1,255,1,often,almost never,never,never,almost never,often,always
15431,26,6,1,256,1,never,almost never,sometimes,often,always,always,never
40820,26,7,1,257,1,always,often,sometimes,almost never,never,often,sometimes
10362,26,8,1,258,1,almost never,sometimes,always,sometimes,almost never,often,never
49658,26,9,1,259,1,sometimes,almost never,almost never,sometimes,always,never,often
63323,26,10,1,260,1,sometimes,always,sometimes,almost never,almost never,never,always
74030,27,1,1,261,1,always,never,almost never,sometimes,often,often,always
13915,27,2,1,262,1,always,sometimes,almost never,almost never,sometimes,always,never
4704,27,3,1,263,1,often,never,often,sometimes,sometimes,almost never,never
58594,27,4,1,264,1,often,often,often,often,often,often,often
72509,27,5,1,265,1,often,almost never,never,never,almost never,often,always
15431,27,6,1,266,1,never,almost never,sometimes,often,always,always,never
40820,27,7,1,267,1,always,often,sometimes,almost never,never,often,sometimes
10362,27,8,1,268,1,almost never,sometimes,always,sometimes,almost never,often,never
49658,27,9,1,269,1,sometimes,almost never,almost never,sometimes,always,never,often
63323,27,10,1,270,1,sometimes,always,sometimes,almost never,almost never,never,always
74030,28,1,1,271,1,always,never,almost never,sometimes,often,often,always
13915,28,2,1,272,1,always,sometimes,almost never,almost never,sometimes,always,never
4704,28,3,1,273,1,often,never,often,sometimes,sometimes,almost never,never
58594,28,4,1,274,1,often,often,often,often,often,often,often
72509,28,5,1,275,1,often,almost never,never,never,almost never,often,always
15431,28,6,1,276,1,never,almost never,sometimes,often,always,always,never
40820,28,7,1,277,1,always,often,sometimes,almost never,never,often,sometimes
10362,28,8,1,278,1,almost never,sometimes,always,sometimes,almost never,often,never
49658,28,9,1,279,1,sometimes,almost never,almost never,sometimes,always,never,often
63323,28,10,1,280,1,sometimes,always,sometimes,almost never,almost never,never,always
74030,29,1,1,281,1,always,never,almost never,sometimes,often,often,always
13915,29,2,1,282,1,always,sometimes,almost never,almost never,sometimes,always,never
4704,29,3,1,283,1,often,never,often,sometimes,sometimes,almost never,never
58594,29,4,1,284,1,often,often,often,often,often,often,often
72509,29,5,1,285,1,often,almost never,never,never,almost never,often,always
15431,29,6,1,286,1,never,almost never,sometimes,often,always,always,never
40820,29,7,1,287,1,always,often,sometimes,almost never,never,often,sometimes
10362,29,8,1,288,1,almost never,sometimes,always,sometimes,almost never,often,never
49658,29,9,1,289,1,sometimes,almost never,almost never,sometimes,always,never,often
63323,29,10,1,290,1,sometimes,always,sometimes,almost never,almost never,never,always
74030,30,1,1,291,1,always,never,almost never,sometimes,often,often,always
13915,30,2,1,292,1,always,sometimes,almost never,almost never,sometimes,always,never
4704,30,3,1,293,1,often,never,often,sometimes,sometimes,almost never,never
58594,30,4,1,294,1,often,often,often,often,often,often,often
72509,30,5,1,295,1,often,almost never,never,never,almost never,often,always
15431,30,6,1,296,1,never,almost never,sometimes,often,always,always,never
40820,30,7,1,297,1,always,often,sometimes,almost never,never,often,sometimes
10362,30,8,1,298,1,almost never,sometimes,always,sometimes,almost never,often,never
49658,30,9,1,299,1,sometimes,almost never,almost never,sometimes,always,never,often
63323,30,10,1,300,1,sometimes,always,sometimes,almost never,almost never,never,always
74030,31,1,1,301,1,always,never,almost never,sometimes,often,often,always
13915,31,2,1,302,1,always,sometimes,almost never,almost never,sometimes,always,never
4704,31,3,1,303,1,often,never,often,sometimes,sometimes,almost never,never
58594,31,4,1,304,1,often,often,often,often,often,often,often
72509,31,5,1,305,1,often,almost never,never,never,almost never,often,always
15431,31,6,1,306,1,never,almost never,sometimes,often,always,always,never
40820,31,7,1,307,1,always,often,sometimes,almost never,never,often,sometimes
10362,31,8,1,308,1,almost never,sometimes,always,sometimes,almost never,often,never
49658,31,9,1,309,1,sometimes,almost never,almost never,sometimes,always,never,often
63323,31,10,1,310,1,sometimes,always,sometimes,almost never,almost never,never,always
74030,32,1,1,311,1,always,never,almost never,sometimes,often,often,always
13915,32,2,1,312,1,always,sometimes,almost never,almost never,sometimes,always,never
4704,32,3,1,313,1,often,never,often,sometimes,sometimes,almost never,never
58594,32,4,1,314,1,often,often,often,often,often,often,often
72509,32,5,1,315,1,often,almost never,never,never,almost never,often,always
15431,32,6,1,316,1,never,almost never,sometimes,often,always,always,never
40820,32,7,1,317,1,always,often,sometimes,almost never,never,often,sometimes
10362,32,8,1,318,1,almost never,sometimes,always,sometimes,almost never,often,never
49658,32,9,1,319,1,sometimes,almost never,almost never,sometimes,always,never,often
63323,32,10,1,320,1,sometimes,always,sometimes,almost never,almost never,never,always
74030,33,1,1,321,1,always,never,almost never,sometimes,often,often,always
13915,33,2,1,322,1,always,sometimes,almost never,almost never,sometimes,always,never
4704,33,3,1,323,1,often,never,often,sometimes,sometimes,almost never,never
58594,33,4,1,324,1,often,often,often,often,often,often,often
72509,33,5,1,325,1,often,almost never,never,never,almost never,often,always
15431,33,6,1,326,1,never,almost never,sometimes,often,always,always,never
40820,33,7,1,327,1,always,often,sometimes,almost never,never,often,sometimes
10362,33,8,1,328,1,almost never,sometimes,always,sometimes,almost never,often,never
49658,33,9,1,329,1,sometimes,almost never,almost never,sometimes,always,never,often
63323,33,10,1,330,1,sometimes,always,sometimes,almost never,almost never,never,always
74030,34,1,1,331,1,always,never,almost never,sometimes,often,often,always
13915,34,2,1,332,1,always,sometimes,almost never,almost never,sometimes,always,never
4704,34,3,1,333,1,often,never,often,sometimes,sometimes,almost never,never
58594,34,4,1,334,1,often,often,often,often,often,often,often
72509,34,5,1,335,1,often,almost never,never,never,almost never,often,always
15431,34,6,1,336,1,never,almost never,sometimes,often,always,always,never
40820,34,7,1,337,1,always,often,sometimes,almost never,never,often,sometimes
10362,34,8,1,338,1,almost never,sometimes,always,sometimes,almost never,often,never
49658,34,9,1,339,1,sometimes,almost never,almost never,sometimes,always,never,often
63323,34,10,1,340,1,sometimes,always,sometimes,almost never,almost never,never,always
74030,35,1,1,341,1,always,never,almost never,sometimes,often,often,always
13915,35,2,1,342,1,always,sometimes,almost never,almost never,sometimes,always,never
4704,35,3,1,343,1,often,never,often,sometimes,sometimes,almost never,never
58594,35,4,1,344,1,often,often,often,often,often,often,often
72509,35,5,1,345,1,often,almost never,never,never,almost never,often,always
15431,35,6,1,346,1,never,almost never,sometimes,often,always,always,never
40820,35,7,1,347,1,always,often,sometimes,almost never,never,often,sometimes
10362,35,8,1,348,1,almost never,sometimes,always,sometimes,almost never,often,never
49658,35,9,1,349,1,sometimes,almost never,almost never,sometimes,always,never,often
63323,35,10,1,350,1,sometimes,always,sometimes,almost never,almost never,never,always
74030,36,1,1,351,1,always,never,almost never,sometimes,often,often,always
13915,36,2,1,352,1,always,sometimes,almost never,almost never,sometimes,always,never
4704,36,3,1,353,1,often,never,often,sometimes,sometimes,almost never,never
58594,36,4,1,354,1,often,often,often,often,often,often,often
72509,36,5,1,355,1,often,almost never,never,never,almost never,often,always
15431,36,6,1,356,1,never,almost never,sometimes,often,always,always,never
40820,36,7,1,357,1,always,often,sometimes,almost never,never,often,sometimes
10362,36,8,1,358,1,almost never,sometimes,always,sometimes,almost never,often,never
49658,36,9,1,359,1,sometimes,almost never,almost never,sometimes,always,never,often
63323,36,10,1,360,1,sometimes,always,sometimes,almost never,almost never,never,always
74030,37,1,1,361,1,always,never,almost never,sometimes,often,often,always
13915,37,2,1,362,1,always,sometimes,almost never,almost never,sometimes,always,never
4704,37,3,1,363,1,often,never,often,sometimes,sometimes,almost never,never
58594,37,4,1,364,1,often,often,often,often,often,often,often
72509,37,5,1,365,1,often,almost never,never,never,almost never,often,always
15431,37,6,1,366,1,never,almost never,sometimes,often,always,always,never
40820,37,7,1,367,1,always,often,sometimes,almost never,never,often,sometimes
10362,37,8,1,368,1,almost never,sometimes,always,sometimes,almost never,often,never
49658,37,9,1,369,1,sometimes,almost never,almost never,sometimes,always,never,often
63323,37,10,1,370,1,sometimes,always,sometimes,almost never,almost never,never,always
74030,38,1,1,371,1,always,never,almost never,sometimes,often,often,always
13915,38,2,1,372,1,always,sometimes,almost never,almost never,sometimes,always,never
4704,38,3,1,373,1,often,never,often,sometimes,sometimes,almost never,never
58594,38,4,1,374,1,often,often,often,often,often,often,often
72509,38,5,1,375,1,often,almost never,never,never,almost never,often,always
15431,38,6,1,376,1,never,almost never,sometimes,often,always,always,never
40820,38,7,1,377,1,always,often,sometimes,almost never,never,often,sometimes
10362,38,8,1,378,1,almost never,sometimes,always,sometimes,almost never,often,never
49658,38,9,1,379,1,sometimes,almost never,almost never,sometimes,always,never,often
63323,38,10,1,380,1,sometimes,always,sometimes,almost never,almost never,never,always
74030,39,1,1,381,1,always,never,almost never,sometimes,often,often,always
13915,39,2,1,382,1,always,sometimes,almost never,almost never,sometimes,always,never
4704,39,3,1,383,1,often,never,often,sometimes,sometimes,almost never,never
58594,39,4,1,384,1,often,often,often,often,often,often,often
72509,39,5,1,385,1,often,almost never,never,never,almost never,often,always
15431,39,6,1,386,1,never,almost never,sometimes,often,always,always,never
40820,39,7,1,387,1,always,often,sometimes,almost never,never,often,sometimes
10362,39,8,1,388,1,almost never,sometimes,always,sometimes,almost never,often,never
49658,39,9,1,389,1,sometimes,almost never,almost never,sometimes,always,never,often
63323,39,10,1,390,1,sometimes,always,sometimes,almost never,almost never,never,always
74030,40,1,1,391,1,always,never,almost never,sometimes,often,often,always
13915,40,2,1,392,1,always,sometimes,almost never,almost never,sometimes,always,never
4704,40,3,1,393,1,often,never,often,sometimes,sometimes,almost never,never
58594,40,4,1,394,1,often,often,often,often,often,often,often
72509,40,5,1,395,1,often,almost never,never,never,almost never,often,always
15431,40,6,1,396,1,never,almost never,sometimes,often,always,always,never
40820,40,7,1,397,1,always,often,sometimes,almost never,never,often,sometimes
10362,40,8,1,398,1,almost never,sometimes,always,sometimes,almost never,often,never
49658,40,9,1,399,1,sometimes,almost never,almost never,sometimes,always,never,often
63323,40,10,1,400,1,sometimes,always,sometimes,almost never,almost never,never,always
74030,41,1,1,401,1,always,never,almost never,sometimes,often,often,always
13915,41,2,1,402,1,always,sometimes,almost never,almost never,sometimes,always,never
4704,41,3,1,403,1,often,never,often,sometimes,sometimes,almost never,never
58594,41,4,1,404,1,often,often,often,often,often,often,often
72509,41,5,1,405,1,often,almost never,never,never,almost never,often,always
15431,41,6,1,406,1,never,almost never,sometimes,often,always,always,never
40820,41,7,1,407,1,always,often,sometimes,almost never,never,often,sometimes
10362,41,8,1,408,1,almost never,sometimes,always,sometimes,almost never,often,never
